    INFO: 2024-05-17 20:59:18,631:               log.py:   20: Logging to /home/ddo/CMU/JOBS/SYSTEMTWO/mitreattacktemp/mdpdf.log
   DEBUG: 2024-05-17 20:59:18,653:      pdf_renderer.py:  470: printSegment:  Regularly utilizes token theft techniques for initial access.
   DEBUG: 2024-05-17 20:59:18,654:      pdf_renderer.py:  470: printSegment:  5 
   DEBUG: 2024-05-17 20:59:18,654:      pdf_renderer.py:  470: printSegment: Password Spraying:
   DEBUG: 2024-05-17 20:59:18,654:      pdf_renderer.py:  470: printSegment:  Uses password spray attacks tailored to avoid detection.
   DEBUG: 2024-05-17 20:59:18,654:      pdf_renderer.py:  470: printSegment:  6 
   DEBUG: 2024-05-17 20:59:18,655:      pdf_renderer.py:  470: printSegment: Authentication Spear-Phishing:
   DEBUG: 2024-05-17 20:59:18,655:      pdf_renderer.py:  470: printSegment:  Utilizes spoofed identity/credential phishing attempts.
   DEBUG: 2024-05-17 20:59:18,655:      pdf_renderer.py:  470: printSegment:  7 
   DEBUG: 2024-05-17 20:59:18,655:      pdf_renderer.py:  470: printSegment: Supply Chain Attacks:
   DEBUG: 2024-05-17 20:59:18,656:      pdf_renderer.py:  470: printSegment:  Exploits trusted relationships between service providers and downstream
   DEBUG: 2024-05-17 20:59:18,656:      pdf_renderer.py:  470: printSegment: customers.
   DEBUG: 2024-05-17 20:59:18,656:      pdf_renderer.py:  470: printSegment:  8 
   DEBUG: 2024-05-17 20:59:18,656:      pdf_renderer.py:  470: printSegment: OAuth Application Abuse:
   DEBUG: 2024-05-17 20:59:18,657:      pdf_renderer.py:  470: printSegment:  Misuses OAuth applications to maintain access and conduct
   DEBUG: 2024-05-17 20:59:18,657:      pdf_renderer.py:  470: printSegment: post-compromise activity.
   DEBUG: 2024-05-17 20:59:18,657:      pdf_renderer.py:  470: printSegment:  9 
   DEBUG: 2024-05-17 20:59:18,658:      pdf_renderer.py:  470: printSegment: Advanced Techniques to Compromise Authentication Mechanisms:
   DEBUG: 2024-05-17 20:59:18,658:      pdf_renderer.py:  470: printSegment:  Includes exploitation of AD
   DEBUG: 2024-05-17 20:59:18,658:      pdf_renderer.py:  470: printSegment: FS via FOGGYWEB and MAGICWEB malwares.
   DEBUG: 2024-05-17 20:59:18,659:      pdf_renderer.py:  470: printSegment:  10 
   DEBUG: 2024-05-17 20:59:18,659:      pdf_renderer.py:  470: printSegment: HTML Smuggling:
   DEBUG: 2024-05-17 20:59:18,659:      pdf_renderer.py:  470: printSegment:  Hides first-stage JavaScript dropper in malicious HTML attachments.
   DEBUG: 2024-05-17 20:59:18,659:      pdf_renderer.py:  470: printSegment: Commonly Used Malware:
   DEBUG: 2024-05-17 20:59:18,660:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,660:      pdf_renderer.py:  470: printSegment: FOGGYWEB
   DEBUG: 2024-05-17 20:59:18,660:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,660:      pdf_renderer.py:  470: printSegment: MAGICWEB
   DEBUG: 2024-05-17 20:59:18,660:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,661:      pdf_renderer.py:  470: printSegment: ROOTSAW (EnvyScout)
   DEBUG: 2024-05-17 20:59:18,661:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,661:      pdf_renderer.py:  470: printSegment: WINELOADER
   DEBUG: 2024-05-17 20:59:18,661:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,662:      pdf_renderer.py:  470: printSegment: GraphicalProton
   DEBUG: 2024-05-17 20:59:18,662:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,662:      pdf_renderer.py:  470: printSegment: TEARDROP
   DEBUG: 2024-05-17 20:59:18,662:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,662:      pdf_renderer.py:  470: printSegment: GoldMax
   DEBUG: 2024-05-17 20:59:18,663:      pdf_renderer.py:  470: printSegment: Report Excerpts:
   DEBUG: 2024-05-17 20:59:18,663:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,663:      pdf_renderer.py:  470: printSegment: Activity Date:
   DEBUG: 2024-05-17 20:59:18,663:      pdf_renderer.py:  470: printSegment:  Late May 2023
   DEBUG: 2024-05-17 20:59:18,663:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,664:      pdf_renderer.py:  470: printSegment: Title:
   DEBUG: 2024-05-17 20:59:18,664:      pdf_renderer.py:  470: printSegment:  Highly Targeted Social Engineering Attacks
   DEBUG: 2024-05-17 20:59:18,664:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,664:      pdf_renderer.py:  470: printSegment: Details:
   DEBUG: 2024-05-17 20:59:18,665:      pdf_renderer.py:  470: printSegment:  Used credential theft phishing lures via Microsoft Teams, leveraging
   DEBUG: 2024-05-17 20:59:18,666:      pdf_renderer.py:  470: printSegment: previously compromised tenants for further attacks targeting MFA approval.
   DEBUG: 2024-05-17 20:59:18,666:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,666:      pdf_renderer.py:  470: printSegment: Activity Date:
   DEBUG: 2024-05-17 20:59:18,667:      pdf_renderer.py:  470: printSegment:  September 6, 2023
   DEBUG: 2024-05-17 20:59:18,667:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,667:      pdf_renderer.py:  470: printSegment: Title:
   DEBUG: 2024-05-17 20:59:18,667:      pdf_renderer.py:  470: printSegment:  Exploitation of TeamCity Vulnerability
   DEBUG: 2024-05-17 20:59:18,667:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,668:      pdf_renderer.py:  470: printSegment: Details:
   DEBUG: 2024-05-17 20:59:18,668:      pdf_renderer.py:  470: printSegment:  Leveraged CVE-2023-42793 to conduct remote code execution and
   DEBUG: 2024-05-17 20:59:18,669:      pdf_renderer.py:  470: printSegment: post-exploitation activities using GraphicalProton malware.
   DEBUG: 2024-05-17 20:59:18,669:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,669:      pdf_renderer.py:  470: printSegment: Activity Date:
   DEBUG: 2024-05-17 20:59:18,670:      pdf_renderer.py:  470: printSegment:  January 12, 2024
   DEBUG: 2024-05-17 20:59:18,670:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,670:      pdf_renderer.py:  470: printSegment: Title:
   DEBUG: 2024-05-17 20:59:18,670:      pdf_renderer.py:  470: printSegment:  Credential Theft and Post-Compromise Activities
   DEBUG: 2024-05-17 20:59:18,671:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,671:      pdf_renderer.py:  470: printSegment: Details:
   DEBUG: 2024-05-17 20:59:18,672:      pdf_renderer.py:  470: printSegment:  Detected and mitigated an extensive phishing campaign targeting Microsoft
   DEBUG: 2024-05-17 20:59:18,672:      pdf_renderer.py:  470: printSegment: systems, involving OAuth abuse and password spray attacks.
   DEBUG: 2024-05-17 20:59:18,672:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,673:      pdf_renderer.py:  470: printSegment: Activity Date:
   DEBUG: 2024-05-17 20:59:18,673:      pdf_renderer.py:  470: printSegment:  February 2024
   DEBUG: 2024-05-17 20:59:18,673:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,673:      pdf_renderer.py:  470: printSegment: Title:
   DEBUG: 2024-05-17 20:59:18,674:      pdf_renderer.py:  470: printSegment:  Phishing Campaign Targeting German Political Parties
   DEBUG: 2024-05-17 20:59:18,674:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,674:      pdf_renderer.py:  470: printSegment: Details:
   DEBUG: 2024-05-17 20:59:18,675:      pdf_renderer.py:  470: printSegment:  Used ROOTSAW to deliver WINELOADER backdoor, representing a shift
   DEBUG: 2024-05-17 20:59:18,676:      pdf_renderer.py:  470: printSegment: to targeting political entities alongside traditional diplomatic targets.
   DEBUG: 2024-05-17 20:59:18,676:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,676:      pdf_renderer.py:  470: printSegment: Activity Date:
   DEBUG: 2024-05-17 20:59:18,676:      pdf_renderer.py:  470: printSegment:  Late February 2024
   DEBUG: 2024-05-17 20:59:18,676:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,677:      pdf_renderer.py:  470: printSegment: Title:
   DEBUG: 2024-05-17 20:59:18,677:      pdf_renderer.py:  470: printSegment:  Increased Phishing Operations in Ukraine
   DEBUG: 2024-05-17 20:59:18,677:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,677:      pdf_renderer.py:  470: printSegment: Details:
   DEBUG: 2024-05-17 20:59:18,678:      pdf_renderer.py:  470: printSegment:  Targeted foreign embassies in Ukraine, including Moscow’s partners, with
   DEBUG: 2024-05-17 20:59:18,680:      pdf_renderer.py:  470: printSegment: phishing emails to collect intelligence amidst Ukraine
   DEBUG: 2024-05-17 20:59:18,680:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-05-17 20:59:18,680:      pdf_renderer.py:  470: printSegment: s counteroffensive.
   DEBUG: 2024-05-17 20:59:18,681:      pdf_renderer.py:  470: printSegment: Attribution:
   DEBUG: 2024-05-17 20:59:18,681:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,681:      pdf_renderer.py:  470: printSegment: Government:
   DEBUG: 2024-05-17 20:59:18,681:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,681:      pdf_renderer.py:  470: printSegment: US Government
   DEBUG: 2024-05-17 20:59:18,681:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,682:      pdf_renderer.py:  470: printSegment: UK Government
   DEBUG: 2024-05-17 20:59:18,682:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,682:      pdf_renderer.py:  470: printSegment: Security Organizations:
   DEBUG: 2024-05-17 20:59:18,682:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,682:      pdf_renderer.py:  470: printSegment: Microsoft Threat Intelligence
   DEBUG: 2024-05-17 20:59:18,683:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,683:      pdf_renderer.py:  470: printSegment: Mandiant
   DEBUG: 2024-05-17 20:59:18,683:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,683:      pdf_renderer.py:  470: printSegment: Recorded Future
   DEBUG: 2024-05-17 20:59:18,683:      pdf_renderer.py:  470: printSegment: Targets:
   DEBUG: 2024-05-17 20:59:18,683:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,684:      pdf_renderer.py:  470: printSegment: Government Entities
   DEBUG: 2024-05-17 20:59:18,684:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,684:      pdf_renderer.py:  470: printSegment: Diplomatic Entities
   DEBUG: 2024-05-17 20:59:18,684:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,684:      pdf_renderer.py:  470: printSegment: Non-Governmental Organizations (NGOs)
   DEBUG: 2024-05-17 20:59:18,684:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,685:      pdf_renderer.py:  470: printSegment: IT Service Providers
   DEBUG: 2024-05-17 20:59:18,685:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,685:      pdf_renderer.py:  470: printSegment: Technology Sector
   DEBUG: 2024-05-17 20:59:18,685:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,685:      pdf_renderer.py:  470: printSegment: Discrete Manufacturing
   DEBUG: 2024-05-17 20:59:18,686:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,686:      pdf_renderer.py:  470: printSegment: Media Sector
   DEBUG: 2024-05-17 20:59:18,686:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,686:      pdf_renderer.py:  470: printSegment: Political Parties
   DEBUG: 2024-05-17 20:59:18,686:      pdf_renderer.py:  470: printSegment: Recommendations:
   DEBUG: 2024-05-17 20:59:18,686:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,687:      pdf_renderer.py:  470: printSegment: Enable and enforce MFA for all user accounts.
   DEBUG: 2024-05-17 20:59:18,687:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,687:      pdf_renderer.py:  470: printSegment: Regularly audit and restrict OAuth applications.
   DEBUG: 2024-05-17 20:59:18,687:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,688:      pdf_renderer.py:  470: printSegment: Reinforce social engineering detection training among users.
   DEBUG: 2024-05-17 20:59:18,688:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,688:      pdf_renderer.py:  470: printSegment: Implement robust password policies to defend against password spray attacks.
   DEBUG: 2024-05-17 20:59:18,688:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,688:      pdf_renderer.py:  470: printSegment: Monitor for suspicious MFA prompt activity and other login anomalies.
   DEBUG: 2024-05-17 20:59:18,689:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,689:      pdf_renderer.py:  470: printSegment: Update software and systems to patch known vulnerabilities promptly.
   DEBUG: 2024-05-17 20:59:18,689:      pdf_renderer.py:  470: printSegment: Hunting Actions:
   DEBUG: 2024-05-17 20:59:18,689:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,690:      pdf_renderer.py:  470: printSegment: Credential Theft Phishing Lures via Microsoft Teams
   DEBUG: 2024-05-17 20:59:18,690:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,690:      pdf_renderer.py:  470: printSegment: Identify and track phishing lures sent via Microsoft Teams chats.
   DEBUG: 2024-05-17 20:59:18,690:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,691:      pdf_renderer.py:  470: printSegment: Detect new domain creation by compromised small business tenants.
   DEBUG: 2024-05-17 20:59:18,691:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,691:      pdf_renderer.py:  470: printSegment: Monitor for requests to create new onmicrosoft.com subdomains.
   DEBUG: 2024-05-17 20:59:18,691:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,692:      pdf_renderer.py:  470: printSegment: Alert for MFA prompt engagement requests initiated by external users.
   DEBUG: 2024-05-17 20:59:18,692:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,692:      pdf_renderer.py:  470: printSegment: Credential Attack Campaigns
   DEBUG: 2024-05-17 20:59:18,692:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,693:      pdf_renderer.py:  470: printSegment: Detect token theft techniques for initial access.
   DEBUG: 2024-05-17 20:59:18,693:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,693:      pdf_renderer.py:  470: printSegment: Monitor for signs of authentication spear-phishing, password spray, brute force, and
   DEBUG: 2024-05-17 20:59:18,694:      pdf_renderer.py:  470: printSegment: other credential attacks.
   DEBUG: 2024-05-17 20:59:18,694:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,694:      pdf_renderer.py:  470: printSegment: Identify activity using Microsoft 365 tenants owned by small businesses for
   DEBUG: 2024-05-17 20:59:18,695:      pdf_renderer.py:  470: printSegment: malicious purposes.
   DEBUG: 2024-05-17 20:59:18,695:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,695:      pdf_renderer.py:  470: printSegment: Post-compromise Activities
   DEBUG: 2024-05-17 20:59:18,695:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,696:      pdf_renderer.py:  470: printSegment: Alert on information theft indicators from compromised Microsoft 365 tenants.
   DEBUG: 2024-05-17 20:59:18,696:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,696:      pdf_renderer.py:  470: printSegment: Monitor attempts to add new devices to the organization as managed devices via
   DEBUG: 2024-05-17 20:59:18,697:      pdf_renderer.py:  470: printSegment: Microsoft Entra ID.
   DEBUG: 2024-05-17 20:59:18,697:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,697:      pdf_renderer.py:  470: printSegment: Log any anomalous device additions or policy circumvention attempts.
   DEBUG: 2024-05-17 20:59:18,697:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,697:      pdf_renderer.py:  470: printSegment: OAuth Application Abuse
   DEBUG: 2024-05-17 20:59:18,697:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,698:      pdf_renderer.py:  470: printSegment: Track and alert on malicious OAuth application creation or modification within a
   DEBUG: 2024-05-17 20:59:18,698:      pdf_renderer.py:  470: printSegment: tenant.
   DEBUG: 2024-05-17 20:59:18,698:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,698:      pdf_renderer.py:  470: printSegment: Flag excessive or unusual permission grants to OAuth applications.
   DEBUG: 2024-05-17 20:59:18,698:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,699:      pdf_renderer.py:  470: printSegment: Monitor OAuth application
   DEBUG: 2024-05-17 20:59:18,699:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-05-17 20:59:18,699:      pdf_renderer.py:  470: printSegment: s suspicious API activity.
   DEBUG: 2024-05-17 20:59:18,699:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,699:      pdf_renderer.py:  470: printSegment: Remote Code Execution via CVE-2023-42793
   DEBUG: 2024-05-17 20:59:18,700:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,700:      pdf_renderer.py:  470: printSegment: Detect unauthorized access to vulnerable JetBrains TeamCity versions.
   DEBUG: 2024-05-17 20:59:18,700:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,700:      pdf_renderer.py:  470: printSegment: Monitor application and system logs for signs of exploitation.
   DEBUG: 2024-05-17 20:59:18,700:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,701:      pdf_renderer.py:  470: printSegment: Track IP addresses and commands executed remotely on vulnerable servers.
   DEBUG: 2024-05-17 20:59:18,701:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,701:      pdf_renderer.py:  470: printSegment: Watch for attempts to install or execute malicious DLL files.
   DEBUG: 2024-05-17 20:59:18,701:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,702:      pdf_renderer.py:  470: printSegment: Custom Exploit Script Usage
   DEBUG: 2024-05-17 20:59:18,702:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,702:      pdf_renderer.py:  470: printSegment: Detect the use of Nuclei vulnerability scanner templates targeting CVE-2023-42793.
   DEBUG: 2024-05-17 20:59:18,702:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,702:      pdf_renderer.py:  470: printSegment: Alert on HTTP requests indicative of exploitation attempts.
   DEBUG: 2024-05-17 20:59:18,703:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,703:      pdf_renderer.py:  470: printSegment: Monitor for indicators of multiple threat actors exploiting the same vulnerability.
   DEBUG: 2024-05-17 20:59:18,703:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,703:      pdf_renderer.py:  470: printSegment: WINELOADER and ROOTSAW Campaigns
   DEBUG: 2024-05-17 20:59:18,704:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,704:      pdf_renderer.py:  470: printSegment: Track spear-phishing emails containing malicious links or attachments.
   DEBUG: 2024-05-17 20:59:18,704:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,704:      pdf_renderer.py:  470: printSegment: Monitor HTTP requests to domains like 
   DEBUG: 2024-05-17 20:59:18,705:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-05-17 20:59:18,705:      pdf_renderer.py:  470: printSegment: waterforvoiceless
   DEBUG: 2024-05-17 20:59:18,705:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-05-17 20:59:18,705:      pdf_renderer.py:  470: printSegment: .
   DEBUG: 2024-05-17 20:59:18,705:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-05-17 20:59:18,705:      pdf_renderer.py:  470: printSegment: org
   DEBUG: 2024-05-17 20:59:18,706:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-05-17 20:59:18,706:      pdf_renderer.py:  470: printSegment:  for payload
   DEBUG: 2024-05-17 20:59:18,706:      pdf_renderer.py:  470: printSegment: downloads.
   DEBUG: 2024-05-17 20:59:18,706:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,707:      pdf_renderer.py:  470: printSegment: Inspect downloaded payloads for file and directory creation activities.
   DEBUG: 2024-05-17 20:59:18,707:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,707:      pdf_renderer.py:  470: printSegment: Watch for execution of Windows binaries by malicious JavaScript payloads.
   DEBUG: 2024-05-17 20:59:18,707:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,708:      pdf_renderer.py:  470: printSegment: GraphicalProton Malware Usage
   DEBUG: 2024-05-17 20:59:18,708:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,708:      pdf_renderer.py:  470: printSegment: Detect malicious DLL files with indicators matching GraphicalProton Yara rules.
   DEBUG: 2024-05-17 20:59:18,708:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,709:      pdf_renderer.py:  470: printSegment: Observe execution of suspicious scheduled tasks invoking malicious DLLs.
   DEBUG: 2024-05-17 20:59:18,709:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,709:      pdf_renderer.py:  470: printSegment: Monitor network connections to malicious C2 servers or unexpected services like
   DEBUG: 2024-05-17 20:59:18,710:      pdf_renderer.py:  470: printSegment: Microsoft OneDrive and Dropbox.
   DEBUG: 2024-05-17 20:59:18,710:      pdf_renderer.py:  470: printSegment: MITRE ATT
   DEBUG: 2024-05-17 20:59:18,710:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2024-05-17 20:59:18,710:      pdf_renderer.py:  470: printSegment: CK Matrix:
   DEBUG: 2024-05-17 20:59:18,711:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,711:      pdf_renderer.py:  470: printSegment: Reconnaissance:
   DEBUG: 2024-05-17 20:59:18,711:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,711:      pdf_renderer.py:  470: printSegment: Active Scanning
   DEBUG: 2024-05-17 20:59:18,712:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,712:      pdf_renderer.py:  470: printSegment: Search Open Technical Databases
   DEBUG: 2024-05-17 20:59:18,712:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,712:      pdf_renderer.py:  470: printSegment: Search Open Websites/Domains
   DEBUG: 2024-05-17 20:59:18,713:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-05-17 20:59:18,713:      pdf_renderer.py:  470: printSegment: Resource Development:
   DEBUG: 2024-05-17 20:59:18,713:      pdf_renderer.py:  470: printSegment: l
